Year,Car,Model,Kilometers,Fuel,Transmission,City Code,Price
2014,Datsun,Go ,47.06k,Petrol,Manual,KA-51,₹1.72 lakh
2016,Hyundai,Grand i10,94.18k,Petrol,Manual,KA-05,₹3.05 lakh
2023,Maruti,S PRESSO,46.56k,CNG,Manual,KA-07,₹4.32 lakh
2022,Tata,TIAGO NRG,14.42k,Petrol,Auto,KA-51,₹5.80 lakh
2015,Maruti,Alto 800,73.17k,Petrol,Manual,KA-08,₹2.23 lakh
2018,Renault,Kwid ,77.77k,Petrol,Manual,KA-25,₹2.34 lakh
2022,Tata,ALTROZ ,80.23k,Petrol,Manual,KA-32,₹6.23 lakh
2014,Maruti,Swift ,1.1l,Diesel,Manual,KA-04,₹3.80 lakh
2018,Maruti,Wagon R,57.30k,Petrol,Auto,KA-01,₹3.37 lakh
2020,Hyundai,Elite i20,63.44k,Petrol,Manual,KA-02,₹5.63 lakh
2014,Hyundai,Eon ,64.06k,Petrol,Manual,KA-51,₹1.70 lakh
2016,Honda,Brio ,30.90k,Petrol,Manual,KA-05,₹3.26 lakh
2012,Hyundai,Eon ,98.64k,Petrol,Manual,KA-51,₹1.60 lakh
2019,Tata,Tiago ,37.45k,Petrol,Manual,KA-17,₹4.10 lakh
2017,Ford, Figo,81.68k,Petrol,Auto,KA-04,₹3.58 lakh
2020,Renault,Kwid ,35.46k,Petrol,Auto,KA-04,₹3.44 lakh
2021,Hyundai, I20,52.50k,Petrol,Auto,KA-04,₹7.75 lakh
2013,Hyundai,Eon ,52.46k,Petrol,Manual,KA-22,₹1.75 lakh
2017,Tata,Tiago ,87.92k,Petrol,Auto,KA-03,₹3.55 lakh
2016,Honda,Brio ,79.64k,Petrol,Manual,KA-49,₹2.46 lakh
2021,Maruti,Celerio ,46.23k,CNG,Auto,KA-51,₹4.12 lakh
2017,Hyundai,Elite i20,50.65k,Petrol,Manual,KA-03,₹5.17 lakh
2020,Maruti,IGNIS ,30.36k,Petrol,Auto,KA-05,₹5.50 lakh
2016,Tata,Nano ,17.04k,Petrol,Auto,KA-53,₹2.08 lakh
2015,Hyundai,Eon ,24.28k,Petrol,Manual,KA-35,₹1.99 lakh
2022,Renault,Kwid ,29.89k,Petrol,Manual,KA-53,₹3.50 lakh
2014,Fiat,Grand Punto,78.73k,Petrol,Manual,KA-03,₹2.33 lakh
2020,Hyundai,GRAND I10,73.89k,Petrol,Manual,KA-04,₹4.65 lakh
2017,Maruti,Alto K10,82.77k,Petrol,Auto,KA-43,₹2.82 lakh
2019,Hyundai,Elite i20,32.92k,Petrol,Manual,KA-01,₹5.65 lakh
2013,Nissan,Micra Active,76.42k,Petrol,Manual,KA-03,₹1.63 lakh
